RigCount,date
3122,2010-09-01
3165,2010-10-01
3233,2010-11-01
3227,2010-12-01
3436,2011-01-01
3536,2011-02-01
3434,2011-03-01
3103,2011-04-01
3130,2011-05-01
3257,2011-06-01
3397,2011-07-01
3613,2011-08-01
3662,2011-09-01
3722,2011-10-01
3683,2011-11-01
3612,2011-12-01
3751,2012-01-01
3900,2012-02-01
3663,2012-03-01
3298,2012-04-01
3335,2012-05-01
3484,2012-06-01
3516,2012-07-01
3490,2012-08-01
3468,2012-09-01
3458,2012-10-01
3461,2012-11-01
3390,2012-12-01
3539,2013-01-01
3679,2013-02-01
3488,2013-03-01
3209,2013-04-01
3178,2013-05-01
3277,2013-06-01
3362,2013-07-01
3416,2013-08-01
3431,2013-09-01
3437,2013-10-01
3452,2013-11-01
3478,2013-12-01
3598,2014-01-01
3736,2014-02-01
3597,2014-03-01
3388,2014-04-01
3371,2014-05-01
3445,2014-06-01
3608,2014-07-01
3642,2014-08-01
3659,2014-09-01
3657,2014-10-01
3670,2014-11-01
3570,2014-12-01
3309,2015-01-01
2986,2015-02-01
2557,2015-03-01
2268,2015-04-01
2127,2015-05-01
2136,2015-06-01
2167,2015-07-01
2226,2015-08-01
2171,2015-09-01
2086,2015-10-01
2047,2015-11-01
1969,2015-12-01
1891,2016-01-01
1761,2016-02-01
1551,2016-03-01
1424,2016-04-01
1405,2016-05-01
1407,2016-06-01
1481,2016-07-01
1547,2016-08-01
1584,2016-09-01
1620,2016-10-01
1678,2016-11-01
1772,2016-12-01
1918,2017-01-01
2027,2017-02-01
1985,2017-03-01
1917,2017-04-01
1935,2017-05-01
2041,2017-06-01
2110,2017-07-01
2116,2017-08-01
2081,2017-09-01
2077,2017-10-01
2057,2017-11-01
2089,2017-12-01
2175,2018-01-01
2271,2018-02-01
2179,2018-03-01
2087,2018-04-01
2096,2018-05-01
2152,2018-06-01
2251,2018-07-01
2278,2018-08-01
2258,2018-09-01
2271,2018-10-01
2266,2018-11-01
2244,2018-12-01
2265,2019-01-01
2306,2019-02-01
2213,2019-03-01
2140,2019-04-01
2182,2019-05-01
2221,2019-06-01
2238,2019-07-01
2206,2019-08-01
2141,2019-09-01
2123,2019-10-01
2042,2019-11-01
2043,2019-12-01
2073,2020-01-01
2125,2020-02-01
