Year,Month,RigCount
2010,1,2773
2010,2,2982
2010,3,2879
2010,4,2676
2010,5,2750
2010,6,2859
2010,7,3032
2010,8,3127
2010,9,3122
2010,10,3165
2010,11,3233
2010,12,3227
2011,1,3436
2011,2,3536
2011,3,3434
2011,4,3103
2011,5,3130
2011,6,3257
2011,7,3397
2011,8,3613
2011,9,3662
2011,10,3722
2011,11,3683
2011,12,3612
2012,1,3751
2012,2,3900
2012,3,3663
2012,4,3298
2012,5,3335
2012,6,3484
2012,7,3516
2012,8,3490
2012,9,3468
2012,10,3458
2012,11,3461
2012,12,3390
2013,1,3539
2013,2,3679
2013,3,3488
2013,4,3209
2013,5,3178
2013,6,3277
2013,7,3362
2013,8,3416
2013,9,3431
2013,10,3437
2013,11,3452
2013,12,3478
2014,1,3598
2014,2,3736
2014,3,3597
2014,4,3388
2014,5,3371
2014,6,3445
2014,7,3608
2014,8,3642
2014,9,3659
2014,10,3657
2014,11,3670
2014,12,3570
2015,1,3309
2015,2,2986
2015,3,2557
2015,4,2268
2015,5,2127
2015,6,2136
2015,7,2167
2015,8,2226
2015,9,2171
2015,10,2086
2015,11,2047
2015,12,1969
2016,1,1891
2016,2,1761
2016,3,1551
2016,4,1424
2016,5,1405
2016,6,1407
2016,7,1481
2016,8,1547
2016,9,1584
2016,10,1620
2016,11,1678
2016,12,1772
2017,1,1918
2017,2,2027
2017,3,1985
2017,4,1917
2017,5,1935
2017,6,2041
2017,7,2110
2017,8,2116
2017,9,2081
2017,10,2077
2017,11,2057
2017,12,2089
2018,1,2175
2018,2,2271
2018,3,2179
2018,4,2087
2018,5,2096
2018,6,2152
2018,7,2251
2018,8,2278
2018,9,2258
2018,10,2271
2018,11,2266
2018,12,2244
2019,1,2265
2019,2,2306
2019,3,2213
2019,4,2140
2019,5,2182
2019,6,2221
2019,7,2238
2019,8,2206
2019,9,2141
2019,10,2123
2019,11,2042
2019,12,2043
2020,1,2073
2020,2,2125
2020,3,1964
2020,4,1514
2020,5,1176
2020,6,1073
2020,7,1030
2020,8,1050
